question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
358,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。法令上の原則に基づいて判断しなさい。,,,,,,業務上負傷疾病による休業期間及びその後30日、産前産後休業期間及びその後30日は、原則として解雇できない。,労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。,産前産後休業期間が終われば翌日から自由に解雇できる。,36協定は口頭合意だけで足り、届出は不要である。,,,,,"1,2",正しい記述は「解雇制限」と「36協定」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
359,single,労働基準法関係,,解雇予告に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,解雇予告は３日前で足りる。,平均賃金を支払えば、解雇理由に関係なく常に即時解雇できる。,解雇予告制度は正社員には適用されない。,使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,,,,,4,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,1:（1）「解雇予告は３日前で足りる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。」です。問題文の条件（解雇予告に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさ…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）の内容は、正答（4）「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。」が示す論点とずれています。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「解雇予告制度は正社員には適用されない。」は本問の正答（4）とは異なるため不適です。,
360,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,常時10人以上の労働者を使用する使用者は、就業規則を作成し行政官庁へ届け出る必要がある。,就業規則は労働者に周知する必要がない。,"トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。",１ヵ月の拘束時間は原則350時間以内である。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「就業規則」「拘束時間月間」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
361,single,労働基準法関係,,就業規則の意見聴取に関する次の記述のうち、誤っているものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,勤務終了後の休息期間は、継続11時間以上与えるよう努めることを基本とし、継続９時間を下回ってはならない。,就業規則の変更には、過半数代表者の同意が必ず必要である。,就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。,午後10時から午前５時までの深夜労働には、通常賃金の２割５分以上の割増賃金が必要である。,,,,,2,就業規則の意見聴取については、「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,就業規則の意見聴取については、「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。,就業規則の意見聴取については、「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「勤務終了後の休息期間は、継続11時間以上与えるよう努めることを基本とし、継続９時間を下回ってはならない。」は本問の正答（2）とは異なるため不適です。;3:就業規則の意見聴取については、「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。;4:（4）の内容は、正答（2）「就業規則の変更には、過半数代表者の同意が必ず必要である。」が示す論点とずれています。,
362,single,労働基準法関係,,法令等の周知に関する次の記述のうち、正しいものを１つ選びなさい。法令上の原則に基づいて判断しなさい。,,,,,,使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。,36協定は使用者だけが保管すれば労働者への周知は不要である。,労働基準法令の要旨は社外秘として周知してはならない。,就業規則は作成すれば周知不要である。,,,,,1,法令等の周知については、「使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,法令等の周知については、「使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。,法令等の周知については、「使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。,2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「36協定は使用者だけが保管すれば労働者への周知は不要である。」は本問の正答（1）とは異なるため不適です。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「労働基準法令の要旨は社外秘として周知してはならない。」は本問の正答（1）とは異なるため不適です。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「就業規則は作成すれば周知不要である。」は本問の正答（1）とは異なるため不適です。,
363,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,"労使協定がある場合でも、１年3,400時間以内の範囲で、年６ヵ月まで１ヵ月310時間までの延長に限られる。",36協定がなくても、繁忙期であれば自由に時間外労働を命じられる。,310時間まで延長できる月数に制限はない。,労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。,,,,,"1,4",正しい記述は「36協定」と「拘束時間延長」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
364,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,午後10時から午前５時までの深夜労働には、通常賃金の２割５分以上の割増賃金が必要である。,深夜割増率は５パーセント以上で足りる。,運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,２週間平均の運転時間基準は１週間60時間以内である。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「深夜割増」「運転時間」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
365,single,労働基準法関係,,減給制裁に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,減給制裁は就業規則に定めなくても無制限に行える。,減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。,減給制裁は１回につき平均賃金３日分まで自由に定められる。,減給制裁の総額に上限はない。,,,,,2,減給制裁については、「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,減給制裁については、「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。,減給制裁については、「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。,1:（1）の内容は、正答（2）「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。」が示す論点とずれています。;3:（3）の内容は、正答（2）「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。」が示す論点とずれています。;4:（4）「減給制裁の総額に上限はない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。」です。問題文の条件（減給制裁に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。…）と照らし、設問が問う論点に合う肢を選び直してください。,
366,combination,労働基準法関係,,改善基準の拘束時間について、次のＡ、Ｂ、Ｃ、Ｄに入るべき字句を選択肢から選びなさい。拘束時間は１年（Ａ）以内かつ１ヵ月（Ｂ）以内が原則である。労使協定がある場合でも、１年（Ｃ）以内の範囲で１ヵ月（Ｄ）までの延長に限られる。,,,,,,"3,300時間","3,400時間",284時間,310時間,293時間,320時間,"3,516時間",６ヵ月,A-1;B-3;C-2;D-4,"現行の改善基準では、拘束時間は１年3,300時間・１ヵ月284時間が原則で、労使協定による例外でも１年3,400時間・１ヵ月310時間が上限である。",,,,
367,single,労働基準法関係,,拘束時間月間に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,１ヵ月の拘束時間は原則350時間以内である。,１ヵ月の拘束時間には点呼時間を含めない。,拘束時間の月間基準は旅客だけに適用される。,"トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。",,,,,4,"拘束時間月間については、「トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。","拘束時間月間については、「トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。","拘束時間月間については、「トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。","1:（1）の内容は、正答（4）「トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。」が示す論点とずれています。;2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「１ヵ月の拘束時間には点呼時間を含めない。」は本問の正答（4）とは異なるため不適です。;3:（3）の内容は、正答（4）「トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。」が示す論点とずれています。",
368,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,労使協定があれば、毎月360時間まで延長できる。,休日労働をした日は拘束時間の限度を適用しない。,"労使協定がある場合でも、１年3,400時間以内の範囲で、年６ヵ月まで１ヵ月310時間までの延長に限られる。",改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。,,,,,"3,4",正しい記述は「拘束時間延長」と「休日労働」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
369,single,労働基準法関係,,１日拘束時間に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,１日の拘束時間は運転時間だけを合計する。,１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回まで16時間とできる例外がある。,１日の拘束時間は原則20時間以内である。,延長する場合の最大拘束時間に上限はない。,,,,,2,１日拘束時間については、「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回まで16時間とできる例外がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,１日拘束時間については、「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。,１日拘束時間については、「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。,1:（1）の内容は、正答（2）「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回…」が示す論点とずれています。;3:（3）の内容は、正答（2）「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回…」が示す論点とずれています。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「延長する場合の最大拘束時間に上限はない。」は本問の正答（2）とは異なるため不適です。,
370,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。法令上の原則に基づいて判断しなさい。,,,,,,勤務終了後の休息期間は、継続11時間以上与えるよう努めることを基本とし、継続９時間を下回ってはならない。,休息期間は分割して合計８時間あれば常に足りる。,使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。,休憩は労働時間の終了後にまとめて与えればよい。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「休息期間」「休憩時間」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
371,single,労働基準法関係,,運転時間に関する次の記述のうち、誤っているものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,労働基準法で定める労働条件の基準は最低のものであり、当事者は労働条件の向上を図るよう努める。,業務上負傷疾病による休業期間及びその後30日、産前産後休業期間及びその後30日は、原則として解雇できない。,２週間平均の運転時間基準は１週間60時間以内である。,,,,,4,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,1:運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。;2:（2）の内容は、正答（4）「２週間平均の運転時間基準は１週間60時間以内である。」が示す論点とずれています。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「業務上負傷疾病による休業期間及びその後30日、産前産後休業期間及びその後30日は、原則として解雇できない。」は本問の正答（4）とは異なるため不適です。,
372,single,労働基準法関係,,連続運転時間に関する次の記述のうち、正しいものを１つ選びなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,運転中断は１回５分を６回取れば常に足りる。,４時間を超えても、到着予定時刻を優先して運転を継続できる。,連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。,連続運転時間は６時間まで認められる。,,,,,3,連続運転時間については、「連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,連続運転時間については、「連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。,連続運転時間については、「連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。,1:（1）の内容は、正答（3）「連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。」が示す論点とずれています。;2:（2）の内容は、正答（3）「連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。」が示す論点とずれています。;4:（4）の内容は、正答（3）「連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。」が示す論点とずれています。,
373,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。安全確保の観点から判断しなさい。,,,,,,４週間を通じ２日以上の休日で足りる。,改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。,使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。,休日労働は１週間に３回まで自由に行える。,,,,,"2,3",正しい記述は「休日労働」と「休日」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
374,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。法令上の原則に基づいて判断しなさい。,,,,,,労働基準法で定める労働条件の基準は最低のものであり、当事者は労働条件の向上を図るよう努める。,労働基準法の基準を理由に労働条件を低下させることは当然に認められる。,使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,解雇予告制度は正社員には適用されない。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「労働条件の最低基準」「解雇予告」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
375,single,労働基準法関係,,労働条件明示に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,労働条件は採用後１年以内に口頭で伝えれば足りる。,賃金や労働時間は明示事項ではない。,明示された労働条件が事実と違っても、労働者は直ちに契約解除できない。,使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,,,,,4,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,1:（1）の内容は、正答（4）「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が示す論点とずれています。;2:（2）の内容は、正答（4）「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が示す論点とずれています。;3:（3）の内容は、正答（4）「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が示す論点とずれています。,
376,combination,労働基準法関係,,改善基準の拘束時間について、次のＡ、Ｂ、Ｃ、Ｄに入るべき字句を選択肢から選びなさい。拘束時間は１年（Ａ）以内かつ１ヵ月（Ｂ）以内が原則である。労使協定がある場合でも、１年（Ｃ）以内の範囲で１ヵ月（Ｄ）までの延長に限られる。,,,,,,"3,300時間","3,400時間",284時間,310時間,293時間,320時間,"3,516時間",６ヵ月,A-1;B-3;C-2;D-4,"現行の改善基準では、拘束時間は１年3,300時間・１ヵ月284時間が原則で、労使協定による例外でも１年3,400時間・１ヵ月310時間が上限である。",,,,
377,single,労働基準法関係,,休憩時間に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,休憩時間は運転者には適用されない。,使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。,労働時間が８時間を超えても休憩は30分で足りる。,休憩は労働時間の終了後にまとめて与えればよい。,,,,,2,休憩時間については、「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,休憩時間については、「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。,休憩時間については、「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。,1:（1）の内容は、正答（2）「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。」が示す論点とずれています。;3:（3）の内容は、正答（2）「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。」が示す論点とずれています。;4:（4）の内容は、正答（2）「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。」が示す論点とずれています。,
378,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。法令上の原則に基づいて判断しなさい。,,,,,,使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。,就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。,休日は１ヵ月に１日あれば足りる。,就業規則の作成時に労働者側の意見を聴く必要は一切ない。,,,,,"1,2",正しい記述は「休日」と「就業規則の意見聴取」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
379,single,労働基準法関係,,年次有給休暇に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,年次有給休暇は３ヵ月継続勤務で必ず20日付与される。,全労働日の５割出勤すれば年次有給休暇が付与される。,年次有給休暇は運転者には適用されない。,雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。,,,,,4,年次有給休暇については、「雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,年次有給休暇については、「雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。,年次有給休暇については、「雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。,1:（1）の内容は、正答（4）「雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。」が示す論点とずれています。;2:（2）の内容は、正答（4）「雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。」が示す論点とずれています。;3:（3）の内容は、正答（4）「雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。」が示す論点とずれています。,
380,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,業務上負傷疾病による休業期間及びその後30日、産前産後休業期間及びその後30日は、原則として解雇できない。,業務上負傷による休業中でも、30日前に予告すれば必ず解雇できる。,減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。,減給制裁は就業規則に定めなくても無制限に行える。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「解雇制限」「減給制裁」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
381,single,労働基準法関係,,解雇予告に関する次の記述のうち、誤っているものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,"労使協定がある場合でも、１年3,400時間以内の範囲で、年６ヵ月まで１ヵ月310時間までの延長に限られる。",解雇予告制度は正社員には適用されない。,使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。,,,,,2,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,1:（1）の内容は、正答（2）「解雇予告制度は正社員には適用されない。」が示す論点とずれています。;3:解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。;4:（4）の内容は、正答（2）「解雇予告制度は正社員には適用されない。」が示す論点とずれています。,
382,single,労働基準法関係,,就業規則に関する次の記述のうち、正しいものを１つ選びなさい。法令上の原則に基づいて判断しなさい。,,,,,,常時10人以上の労働者を使用する使用者は、就業規則を作成し行政官庁へ届け出る必要がある。,常時５人以上の労働者を使用すれば必ず就業規則の届出が必要である。,常時10人以上でも就業規則は口頭で定めれば足りる。,就業規則は労働者に周知する必要がない。,,,,,1,就業規則については、「常時10人以上の労働者を使用する使用者は、就業規則を作成し行政官庁へ届け出る必要がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,就業規則については、「常時10人以上の労働者を使用する使用者は、就業規則を作成し行政官庁へ届け出る必要がある。,就業規則については、「常時10人以上の労働者を使用する使用者は、就業規則を作成し行政官庁へ届け出る必要がある。,2:（2）の内容は、正答（1）「常時10人以上の労働者を使用する使用者は、就業規則を作成し行政官庁へ届け出る必要がある。」が示す論点とずれています。;3:（3）の内容は、正答（1）「常時10人以上の労働者を使用する使用者は、就業規則を作成し行政官庁へ届け出る必要がある。」が示す論点とずれています。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「就業規則は労働者に周知する必要がない。」は本問の正答（1）とは異なるため不適です。,
383,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,６週間以内に出産予定の女性が休業を請求した場合、使用者は就業させてはならない。産後８週間も原則就業禁止である。,就業規則の変更には、過半数代表者の同意が必ず必要である。,産前休業は多胎妊娠でも６週間以内に限られる。,就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。,,,,,"1,4",正しい記述は「就業規則の意見聴取」と「産前産後」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
384,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。,就業規則は作成すれば周知不要である。,１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回まで16時間とできる例外がある。,１日の拘束時間は原則20時間以内である。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「法令等の周知」「１日拘束時間」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
385,single,労働基準法関係,,36協定に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,36協定があれば、健康上特に有害な業務でも１日何時間でも延長できる。,労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。,36協定がなくても、繁忙期であれば自由に時間外労働を命じられる。,36協定は口頭合意だけで足り、届出は不要である。,,,,,2,36協定については、「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,36協定については、「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。,36協定については、「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。,1:（1）の内容は、正答（2）「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。」が示す論点とずれています。;3:（3）の内容は、正答（2）「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。」が示す論点とずれています。;4:（4）の内容は、正答（2）「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。」が示す論点とずれています。,
386,combination,実務上の知識及び能力,,走行時の現象について、次のＡ、Ｂ、Ｃ、Ｄに入るべき字句を選択肢から選びなさい。水上を滑走する状態は（Ａ）、タイヤが波打つ状態は（Ｂ）、ブレーキ液に気泡が生じる状態は（Ｃ）、摩擦熱で制動力が低下する状態は（Ｄ）である。,,,,,,ベーパー・ロック現象,蒸発現象,スタンディングウェーブ現象,居眠り現象,フェード現象,ハイドロプレーニング現象,過積載現象,視野狭窄,A-6;B-3;C-1;D-5,各現象の名称は頻出で、原因と結果をセットで覚える。,,,,
